language_ru,language_en,family,branch,iso639_3,opus_code,opus_checked,opus_error,opus_ru_parallel_pairs,opus_ru_parallel_documents,opus_ru_parallel_corpora,opus_mono_pairs_or_segments,opus_mono_documents,opus_mono_corpora,opus_cached_from_previous_run,hf_checked,hf_query_attempts,hf_query_successes,hf_dataset_count,hf_ru_parallel_candidates,hf_top_datasets,hf_downloads_sum,hf_size_categories,hf_source_url,parallel_with_russian_source,monolingual_source,checked_at_utc
бурятский,Buryat,Монгольская,монгольская,bxr,bxr,False,<urlopen error timed out>,1337,2,Mozilla-I10n (566); wikimedia (771),1639,2,Mozilla-I10n (354); wikimedia (1285),True,True,3,3,12,9,SaranaAbidueva/buryat-russian_parallel_corpus; SaranaAbidueva/buryat_monocorpus; wikimedia/wikipedia; legacy-datasets/wikipedia; HuggingFaceFW/fineweb-2,493832,100K<n<1M; 100M<n<1B; 10K<n<100K; 10M<n<100M; 1B<n<10B; n<1K; n>1T,https://huggingface.co/datasets,https://opus.nlpl.eu/opusapi,OPUS monolingual rows; Hugging Face dataset search,2026-08-21
калмыцкий,Kalmyk,Монгольская,ойратская,xal,xal,False,<urlopen error timed out>,209,1,Tatoeba (209); Ubuntu (0),894,3,Tatoeba (886); Ubuntu (0); wikimedia (8),True,True,3,3,11,8,LilNomto/kalmyk_monocorpus; wikimedia/wikipedia; legacy-datasets/wikipedia; HuggingFaceFW/fineweb-2; HuggingFaceFW/finepdfs,492177,100K<n<1M; 100M<n<1B; 10K<n<100K; 10M<n<100M; 1B<n<10B; n<1K; n>1T,https://huggingface.co/datasets,https://opus.nlpl.eu/opusapi,OPUS monolingual rows; Hugging Face dataset search,2026-08-21
абазинский,Abaza,Северокавказская,абхазо-адыгская,abq,,False,,0,0,,0,0,,False,True,3,3,11,3,Maghrebi/Abaza; HuggingFaceFW/fineweb-2; HuggingFaceFW/finepdfs; openbmb/DCAD-2000; cis-lmu/GlotCC-V1,167099,100M<n<1B; 10K<n<100K; 10M<n<100M; 1B<n<10B; 1M<n<10M,https://huggingface.co/datasets,https://opus.nlpl.eu/opusapi,OPUS monolingual rows; Hugging Face dataset search,2026-08-21
адыгейский,Adyghe,Северокавказская,абхазо-адыгская,ady,ady,False,<urlopen error timed out>,150,2,Mozilla-I10n (5); wikimedia (145),1741,4,Mozilla-I10n (2); Tatoeba (32); Ubuntu (0); wikimedia (1707),True,True,3,3,10,7,wikimedia/wikipedia; HuggingFaceFW/fineweb-2; HuggingFaceFW/finepdfs; graelo/wikipedia; Helsinki-NLP/tatoeba,382532,100M<n<1B; 10K<n<100K; 10M<n<100M; 1B<n<10B; n<1K,https://huggingface.co/datasets,https://opus.nlpl.eu/opusapi,OPUS monolingual rows; Hugging Face dataset search,2026-08-21
кабардино-черкесский,Kabardian,Северокавказская,абхазо-адыгская,kbd,kbd,False,<urlopen error timed out>,496,3,Mozilla-I10n (489); Tatoeba (3); wikimedia (4),835,4,Mozilla-I10n (391); Tatoeba (120); Ubuntu (0); wikimedia (324),True,True,3,3,10,8,anzorq/kbd-ru; wikimedia/wikipedia; legacy-datasets/wikipedia; HuggingFaceFW/fineweb-2; HuggingFaceFW/finepdfs,492734,100K<n<1M; 100M<n<1B; 10K<n<100K; 10M<n<100M; 1B<n<10B; n<1K,https://huggingface.co/datasets,https://opus.nlpl.eu/opusapi,OPUS monolingual rows; Hugging Face dataset search,2026-08-21
ингушский,Ingush,Северокавказская,нахская,inh,inh,False,<urlopen error timed out>,570,3,QED (243); TED2020 (225); wikimedia (102),776,6,QED (315); TED2020 (312); Ubuntu (0); wikimedia (149),True,True,3,3,12,10,parchiev/ingush-russian; parchiev/ingush_proverbs; wikimedia/wikipedia; legacy-datasets/wikipedia; HuggingFaceFW/fineweb-2,491696,100K<n<1M; 100M<n<1B; 10M<n<100M; 1B<n<10B; 1K<n<10K; n<1K,https://huggingface.co/datasets,https://opus.nlpl.eu/opusapi,OPUS monolingual rows; Hugging Face dataset search,2026-08-21
чеченский,Chechen,Северокавказская,нахская,che,ce,False,<urlopen error timed out>,3431,4,QED (371); Tatoeba (18); Ubuntu (0); wikimedia (3042),5873,9,QED (2323); Tatoeba (66); Ubuntu (0); wikimedia (3484),True,True,4,4,24,12,NM-development/chechen_given_names_bessmertnybarak_v0; NM-development/chechen_given_names; NM-development/chechen_male_given_names; NM-development/chechen_female_given_names; wikimedia/wikipedia,542752,100K<n<1M; 100M<n<1B; 10K<n<100K; 10M<n<100M; 1B<n<10B; 1K<n<10K; 1M<n<10M; n<1K,https://huggingface.co/datasets,https://opus.nlpl.eu/opusapi,OPUS monolingual rows; Hugging Face dataset search,2026-08-21
аварский,Avar,Северокавказская,нахско-дагестанская,ava,av,False,<urlopen error timed out>,2392,5,QED (132); Tatoeba (1437); wikimedia (823),6463,18,QED (3318); Tatoeba (1746); wikimedia (1399),True,True,4,4,22,12,volina092/avarCorpora; Burtinsaw/avar-turkish-parallel; wikimedia/wikipedia; legacy-datasets/wikipedia; HuggingFaceFW/fineweb-2,522377,100K<n<1M; 100M<n<1B; 10K<n<100K; 10M<n<100M; 1B<n<10B; 1K<n<10K; 1M<n<10M; n<1K; n>1T,https://huggingface.co/datasets,https://opus.nlpl.eu/opusapi,OPUS monolingual rows; Hugging Face dataset search,2026-08-21
даргинский,Dargwa,Северокавказская,нахско-дагестанская,dar,dar,False,<urlopen error timed out>,534,1,Tatoeba (534),1737,1,Tatoeba (1737),True,True,3,3,11,4,Murtazali/bible-dargwa-russian; Murtazali/dargwa-monocorpus; Murtazali/dargwa_dictionary; HuggingFaceFW/fineweb-2; HuggingFaceFW/finepdfs,168559,100K<n<1M; 100M<n<1B; 10K<n<100K; 10M<n<100M; 1B<n<10B,https://huggingface.co/datasets,https://opus.nlpl.eu/opusapi,OPUS monolingual rows; Hugging Face dataset search,2026-08-21
лакский,Lak,Северокавказская,нахско-дагестанская,lbe,lbe,False,<urlopen error timed out>,78,1,wikimedia (78),148,1,wikimedia (148),True,True,3,3,10,8,wikimedia/wikipedia; legacy-datasets/wikipedia; HuggingFaceFW/fineweb-2; HuggingFaceFW/finepdfs; graelo/wikipedia,491349,100M<n<1B; 10M<n<100M; 1B<n<10B; n<1K,https://huggingface.co/datasets,https://opus.nlpl.eu/opusapi,OPUS monolingual rows; Hugging Face dataset search,2026-08-21
